iter,v1,v2,v3,v4,v5,fitness,p1,p2,p3,p4,p5,time
43,3.0,3.0,30.0,3.4,10.0,25958.5526591826,3954.2829823388875,5827.785848060131,5827.795840350349,5174.343168013536,5174.344820419699,94.07
44,3.0,3.0,30.0,3.4,10.0,25958.5526591826,3954.2829823388875,5827.785848060131,5827.795840350349,5174.343168013536,5174.344820419699,110.11
45,3.0,3.0,30.0,3.4,10.0,25958.5526591826,3954.2829823388875,5827.785848060131,5827.795840350349,5174.343168013536,5174.344820419699,110.01
46,3.0,3.0,30.0,3.4,10.0,25958.5526591826,3954.2829823388875,5827.785848060131,5827.795840350349,5174.343168013536,5174.344820419699,94.35
47,3.0,3.0,30.0,3.4,10.0,25958.5526591826,3954.2829823388875,5827.785848060131,5827.795840350349,5174.343168013536,5174.344820419699,172.82
48,3.0,3.0,30.0,3.4,10.0,25958.5526591826,3954.2829823388875,5827.785848060131,5827.795840350349,5174.343168013536,5174.344820419699,141.08
49,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,62.86
50,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,62.84
51,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,78.66
52,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,47.24
53,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,31.40
54,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
55,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,15.73
56,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
57,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
58,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
59,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
60,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
61,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
62,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
63,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
64,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
65,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
66,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
67,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
68,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
69,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
70,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
71,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
72,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
73,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
74,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
75,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
76,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
77,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
78,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
79,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
80,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
