v1,v2,fitness,p1
2.5,3.8,1203.3004176499167,1203.3004176499167
0.9,3.2,375.62621875654924,375.62621875654924
0.5,2.6,49.627382698771555,49.627382698771555
1.3,2.9,584.6976995375745,584.6976995375745
1.0,5.0,107.27965938815728,107.27965938815728
2.5,3.3,1347.0452987000829,1347.0452987000829
0.5,2.8,42.14412545505402,42.14412545505402
2.5,3.2,1422.9159708356517,1422.9159708356517
1.0,1.9,302.079801627469,302.079801627469
1.9,4.0,738.9559248367236,738.9559248367236
2.5,2.4,1863.3753404383938,1863.3753404383938
1.0,3.0,503.379099091437,503.379099091437
2.5,4.2,853.7921948290353,853.7921948290353
2.5,5.0,681.8763151070445,681.8763151070445
0.5,1.4,60.57784755710497,60.57784755710497
0.9,1.7,232.49044469317758,232.49044469317758
0.5,3.2,32.482092759010314,32.482092759010314
2.5,4.7,775.4238288639484,775.4238288639484
0.5,0.8,39.74266472047384,39.74266472047384
2.5,2.6,1771.8390708374516,1771.8390708374516
2.5,3.4,1284.8359195059836,1284.8359195059836
2.5,4.5,706.8064484092982,706.8064484092982
2.5,3.1,1519.0397523022164,1519.0397523022164
2.5,3.7,1270.2946678278702,1270.2946678278702
1.0,3.5,343.73026334949606,343.73026334949606
2.5,3.0,1604.1628756999744,1604.1628756999744
2.5,2.8,1755.0770029735202,1755.0770029735202
2.5,3.6,1276.4299371559537,1276.4299371559537
2.5,2.1,1945.1749573569257,1945.1749573569257
2.5,3.5,1278.4395739193055,1278.4395739193055
2.5,0.7,1807.5454341027983,1807.5454341027983
2.5,2.7,1777.968021922677,1777.968021922677
2.5,4.6,728.9793063510463,728.9793063510463
2.5,2.2,1927.616016206528,1927.616016206528
2.5,1.8,1929.7829065529836,1929.7829065529836
2.1,1.0,1295.6060990745273,1295.6060990745273
2.5,1.2,1843.3135269488926,1843.3135269488926
2.5,2.9,1703.1007802367205,1703.1007802367205
2.5,2.3,1885.8803185599968,1885.8803185599968
2.5,1.9,1922.1747126800872,1922.1747126800872
2.5,1.6,1908.8385071932992,1908.8385071932992
2.5,2.0,1949.1433741755322,1949.1433741755322
2.2,1.7,1517.3774801919062,1517.3774801919062
1.6,2.8,894.6743031446402,894.6743031446402
2.5,1.4,1873.5155961500352,1873.5155961500352
2.5,2.5,1811.7994800976528,1811.7994800976528
2.5,1.7,1905.545968434576,1905.545968434576
