iter,v1,v2,fitness,p1,time
1,2.5,2.0,1949.1433741755322,1949.1433741755322,42.76
2,2.5,2.0,1949.1433741755322,1949.1433741755322,36.31
3,2.5,2.0,1949.1433741755322,1949.1433741755322,26.19
4,2.5,2.0,1949.1433741755322,1949.1433741755322,13.44
5,2.5,2.0,1949.1433741755322,1949.1433741755322,8.77
6,2.5,2.0,1949.1433741755322,1949.1433741755322,3.09
7,2.5,2.0,1949.1433741755322,1949.1433741755322,1.05
8,2.5,2.0,1949.1433741755322,1949.1433741755322,0.52
9,2.5,2.0,1949.1433741755322,1949.1433741755322,0.01
10,2.5,2.0,1949.1433741755322,1949.1433741755322,0.01
11,2.5,2.0,1949.1433741755322,1949.1433741755322,0.01
12,2.5,2.0,1949.1433741755322,1949.1433741755322,0.01
13,2.5,2.0,1949.1433741755322,1949.1433741755322,0.01
14,2.5,2.0,1949.1433741755322,1949.1433741755322,0.01
15,2.5,2.0,1949.1433741755322,1949.1433741755322,0.01
16,2.5,2.0,1949.1433741755322,1949.1433741755322,0.01
17,2.5,2.0,1949.1433741755322,1949.1433741755322,0.01
18,2.5,2.0,1949.1433741755322,1949.1433741755322,0.01
19,2.5,2.0,1949.1433741755322,1949.1433741755322,0.01
20,2.5,2.0,1949.1433741755322,1949.1433741755322,0.01
21,2.5,2.0,1949.1433741755322,1949.1433741755322,0.01
22,2.5,2.0,1949.1433741755322,1949.1433741755322,0.01
23,2.5,2.0,1949.1433741755322,1949.1433741755322,0.01
24,2.5,2.0,1949.1433741755322,1949.1433741755322,0.01
25,2.5,2.0,1949.1433741755322,1949.1433741755322,0.01
26,2.5,2.0,1949.1433741755322,1949.1433741755322,0.01
27,2.5,2.0,1949.1433741755322,1949.1433741755322,0.01
28,2.5,2.0,1949.1433741755322,1949.1433741755322,0.01
29,2.5,2.0,1949.1433741755322,1949.1433741755322,0.01
30,2.5,2.0,1949.1433741755322,1949.1433741755322,0.01
31,2.5,2.0,1949.1433741755322,1949.1433741755322,0.01
32,2.5,2.0,1949.1433741755322,1949.1433741755322,0.01
33,2.5,2.0,1949.1433741755322,1949.1433741755322,0.01
