iter,v1,v2,fitness,p1,time
62,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
63,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
64,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
65,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
66,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
67,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
68,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
69,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
70,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
71,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
72,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
73,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
74,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
75,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
76,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
77,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
78,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
79,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
80,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
81,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
82,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
83,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
84,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
85,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
86,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
87,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
88,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
89,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
90,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
91,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
92,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
93,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
94,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
95,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
96,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
97,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
98,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
99,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
100,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
101,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
102,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
103,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
104,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
105,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
106,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
107,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
108,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
109,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
110,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
111,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
112,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
113,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
114,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
115,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
116,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
117,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
118,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
119,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
120,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
121,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
122,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
123,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
124,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
125,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
126,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
127,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
128,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
129,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
130,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
131,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
132,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
133,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
134,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
135,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
136,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
137,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
138,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
139,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
140,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
141,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
142,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
143,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
144,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
145,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
146,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
147,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
148,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
149,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
150,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
151,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
152,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
153,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
154,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
155,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
156,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
157,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
158,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
159,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
160,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
161,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
162,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
163,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
164,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
165,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
166,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
167,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
168,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
169,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
170,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
171,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
172,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
173,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
174,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
175,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
176,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
177,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
178,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
