v1,v2,v3,v4,v5,fitness,p1,p2,p3,p4,p5
19.3,5.9,20.5,13.5,14.4,-509489.48847157636,0.0,0.0,0.0,0.0,0.0
18.1,15.6,27.1,19.1,4.2,-12965186.742030839,0.0,0.0,0.0,0.0,0.0
18.0,7.0,8.6,18.5,11.8,12259.180442559315,2239.9262416690362,1271.0862293197617,1271.084373768759,3738.5443039515644,3738.5392938501946
5.9,8.3,12.2,14.8,24.8,6139.900345972019,1575.1929705425887,1035.9731428142325,1035.9704907363664,1246.3821111495129,1246.3816307293184
20.2,16.1,12.0,24.4,20.7,16537.192004065313,4342.715579890229,2224.2353127024458,2224.238972056615,3873.0043175719334,3872.9978218440897
23.5,9.4,28.3,14.3,7.8,6619.2996648279295,4038.875912459929,250.3434946599516,250.3436294211776,1039.8696608953153,1039.8669673915558
13.2,13.1,1.9,20.1,2.3,-42898759.42520403,0.0,0.0,0.0,0.0,0.0
16.4,3.8,9.4,16.2,0.4,-28305572.809000082,0.0,0.0,0.0,0.0,0.0
22.4,3.9,18.7,7.0,12.4,-5957208.254766435,0.0,0.0,0.0,0.0,0.0
12.0,25.0,7.1,19.8,16.8,15605.42903627455,851.3980876681845,4054.673051508626,4054.674066912295,3322.339928756983,3322.343901428462
22.8,3.0,9.7,13.0,4.4,-1199999.9999999993,0.0,0.0,0.0,0.0,0.0
3.0,9.7,10.6,19.0,7.8,-575273.489698752,0.0,0.0,0.0,0.0,0.0
15.4,19.5,25.4,15.2,0.0,-29599999.999999996,0.0,0.0,0.0,0.0,0.0
7.6,7.2,10.2,7.9,22.8,6186.77331260984,1302.0476665247113,1315.3844057134945,1315.3818533872852,1126.9795377042485,1126.9798492801012
25.0,3.0,21.9,9.3,19.2,-6291608.409444964,0.0,0.0,0.0,0.0,0.0
18.2,9.1,29.4,3.0,19.4,10020.089661032482,1465.0837296347697,3468.4499810951975,3468.4563793191837,809.0493062248053,809.0502647585226
10.0,22.4,0.0,17.3,3.5,-32066776.93088534,0.0,0.0,0.0,0.0,0.0
18.5,16.4,12.2,4.2,30.0,16370.67552797002,2235.6944377818995,2718.7680688524833,2718.762299699411,4348.713534078568,4348.737187557656
22.2,11.0,30.0,12.0,2.5,-5000000.0,0.0,0.0,0.0,0.0,0.0
