v1,v2,fitness,p1
2.5,1.2,1129.7909474750775,1129.7909474750775
2.5,4.5,1382.378045925155,1382.378045925155
2.5,2.8,1314.7620035097295,1314.7620035097295
2.4,3.2,1201.2673990893902,1201.2673990893902
2.3,2.8,1044.0066175552913,1044.0066175552913
2.4,4.6,1256.1246595949592,1256.1246595949592
2.5,3.4,1320.56319022102,1320.56319022102
2.4,2.7,1142.1805482203852,1142.1805482203852
2.4,3.5,1210.7431871399965,1210.7431871399965
2.5,2.4,1236.645718577559,1236.645718577559
2.4,2.1,1104.9430019594543,1104.9430019594543
2.4,2.6,1131.9622132243417,1131.9622132243417
2.3,4.6,1130.806062840524,1130.806062840524
2.5,3.2,1303.517358228081,1303.517358228081
2.5,3.7,1504.0810143596098,1504.0810143596098
2.4,3.7,1356.3677145142417,1356.3677145142417
2.2,3.8,1068.260743127657,1068.260743127657
2.5,1.4,1139.8373147002064,1139.8373147002064
2.4,3.1,1196.3182651315913,1196.3182651315913
2.4,4.9,1769.1614536285276,1769.1614536285276
2.5,2.3,1211.306049929129,1211.306049929129
2.3,4.3,1133.2947740953123,1133.2947740953123
2.5,3.5,1392.8972991050778,1392.8972991050778
2.5,3.9,1411.801551148247,1411.801551148247
2.1,5.0,1043.1546489147145,1043.1546489147145
2.4,4.8,1588.5347478180895,1588.5347478180895
2.4,3.4,1198.4723429656617,1198.4723429656617
2.4,4.4,1274.016891590063,1274.016891590063
2.4,2.3,1115.3704869039132,1115.3704869039132
2.3,4.9,1490.093803876461,1490.093803876461
2.4,4.5,1248.0647008064748,1248.0647008064748
2.5,3.8,1487.9176097396835,1487.9176097396835
2.2,4.9,1160.8273615718715,1160.8273615718715
2.4,4.0,1295.8702720199367,1295.8702720199367
2.5,4.8,1849.2365663929693,1849.2365663929693
2.3,4.8,1278.7299006585743,1278.7299006585743
2.5,4.7,1690.4093045772304,1690.4093045772304
2.5,4.9,1848.1835650865653,1848.1835650865653
