v1,v2,fitness,p1
1.5,1.6,695.3343736288406,695.3343736288406
2.2,1.9,1561.4872069842452,1561.4872069842452
1.0,4.1,206.29178075911895,206.29178075911895
2.0,1.8,1280.8114054231364,1280.8114054231364
1.5,1.2,652.3861261084838,652.3861261084838
0.8,4.1,213.0765245059885,213.0765245059885
1.5,0.7,618.1299384506558,618.1299384506558
0.7,3.5,93.69515678567673,93.69515678567673
1.6,4.4,499.97205748912603,499.97205748912603
2.2,4.0,1099.8001906720726,1099.8001906720726
1.1,4.7,359.1739158150918,359.1739158150918
1.2,2.7,487.3270062218303,487.3270062218303
1.0,1.3,267.87769172249773,267.87769172249773
0.8,3.1,158.8738496964218,158.8738496964218
0.5,1.4,60.57784755710497,60.57784755710497
0.9,2.8,233.62098677141768,233.62098677141768
2.0,2.2,1352.3406072758607,1352.3406072758607
1.0,1.2,258.4526017965533,258.4526017965533
1.1,1.5,344.932377775648,344.932377775648
1.9,3.7,896.8331028680477,896.8331028680477
1.3,5.0,520.3532871858116,520.3532871858116
1.1,1.4,340.94694052945573,340.94694052945573
1.9,2.4,1222.1519368453216,1222.1519368453216
1.0,2.9,311.1747812853995,311.1747812853995
1.1,2.4,429.5716806100501,429.5716806100501
2.4,5.0,764.6591614693707,764.6591614693707
1.8,0.9,940.6824769089199,940.6824769089199
2.1,4.4,670.905526542213,670.905526542213
1.3,1.7,509.5606182320724,509.5606182320724
1.7,4.0,717.7299625879665,717.7299625879665
0.5,3.9,43.3641694818596,43.3641694818596
2.5,4.4,751.827785170058,751.827785170058
1.4,5.0,295.73314904911865,295.73314904911865
2.0,0.7,1161.761594973498,1161.761594973498
1.8,4.9,506.87673922869374,506.87673922869374
0.7,0.9,99.58367705247998,99.58367705247998
2.3,0.5,1521.0159356891577,1521.0159356891577
0.7,1.7,125.34458223736245,125.34458223736245
1.2,0.5,357.9756836196275,357.9756836196275
2.5,1.7,1905.545968434576,1905.545968434576
2.4,1.0,1695.7947945310575,1695.7947945310575
0.7,1.8,138.05912179294225,138.05912179294225
1.7,3.6,1115.942633609337,1115.942633609337
1.6,2.1,852.0554949422374,852.0554949422374
1.2,2.0,470.1535704266213,470.1535704266213
0.7,3.0,107.78554228554047,107.78554228554047
1.1,2.3,377.89411054991115,377.89411054991115
0.6,3.2,204.04049748960153,204.04049748960153
1.1,3.9,457.2777928343029,457.2777928343029
1.6,4.2,607.0818350646558,607.0818350646558
1.4,3.4,643.9987902478167,643.9987902478167
1.1,3.7,336.06938707494714,336.06938707494714
