v1,v2,v3,v4,v5,v6,v7,fitness,p1,p2,p3,p4,p5
1.9,2.7,6.5,10.1,28.3,11.0,26.8,-11701428.86309282,0.0,0.0,0.0,0.0,0.0
0.6,0.9,19.8,15.0,27.3,14.2,20.5,393.88613375897967,83.23433697232917,80.99616369220496,80.99627261876032,74.32969108886894,74.32966938681624
1.8,2.1,10.2,5.4,19.8,17.0,14.0,3086.615496871819,965.6741387599797,370.12705534768446,370.1269682110388,690.3432543697058,690.34408018341
2.4,3.6,11.2,20.1,24.7,23.9,3.1,-3399999.9999999995,0.0,0.0,0.0,0.0,0.0
2.2,3.5,3.6,3.1,11.1,23.1,8.3,12832.036698821117,3323.271383330654,3574.9152663836962,3574.9151253995065,1179.4674434014416,1179.4674803058192
1.8,3.8,6.6,12.9,25.0,12.9,24.3,-13000000.000000002,0.0,0.0,0.0,0.0,0.0
1.3,3.3,9.6,24.6,17.2,5.3,0.4,-6162870.847324328,0.0,0.0,0.0,0.0,0.0
2.4,2.2,11.8,24.2,13.7,23.3,18.2,-10021764.875532988,0.0,0.0,0.0,0.0,0.0
0.7,4.5,12.0,23.9,21.0,24.0,8.7,117.15834135414188,45.30436165383624,19.997851868357028,19.997819256690995,15.929157396537931,15.92915117871969
2.2,2.8,5.6,9.7,27.3,24.7,10.2,4359.430118788931,1041.5658178646495,467.3021879065905,467.3031002687863,1191.6292635386756,1191.6297492102294
1.8,4.6,19.7,15.8,29.1,12.1,4.0,5576.67626046498,2672.939724156292,109.40098380814129,109.40109485110435,1342.4684110187375,1342.4660466307053
0.7,4.6,8.3,11.8,3.8,21.9,18.5,896.2922733020431,13.28121399869858,205.64714125069756,205.64781872007924,235.85833643192143,235.85776290064635
2.2,3.2,12.4,22.0,9.6,12.3,25.2,8944.892677451171,833.8615701677766,1687.79102640311,1687.7856196384528,2367.7272080682756,2367.7272531735566
1.9,3.8,19.2,6.4,22.5,12.8,2.7,-3507556.0105501963,0.0,0.0,0.0,0.0,0.0
1.7,1.3,15.9,3.3,7.4,20.1,4.6,-1142070.7980820488,0.0,0.0,0.0,0.0,0.0
2.2,1.7,11.2,6.6,22.5,14.4,14.6,6777.023334902404,1808.227873071921,317.9351050797791,317.9348638675447,2166.4626397769334,2166.462853106226
1.1,2.9,12.6,15.9,17.9,24.2,21.8,4136.782659358034,1090.740129656476,627.7795129693114,627.7760882726033,895.2426345271296,895.2442939325131
0.8,2.8,23.1,11.7,15.2,3.0,11.6,1493.9353990205639,393.9150920451977,167.4694827449502,167.46950554498045,382.5406095164787,382.54070916895677
0.9,3.7,5.5,18.4,7.5,3.9,7.1,1395.940399216539,52.43570674878338,334.8216976588505,334.8223800206418,336.93026218220626,336.9303526060572
1.3,1.1,3.7,14.3,4.8,17.7,29.0,2362.142788233512,255.43646801842863,540.7778169114613,540.777873756806,512.575245777951,512.5753837688652
2.2,0.9,6.9,17.6,9.2,23.3,2.9,-3608237.2897924497,0.0,0.0,0.0,0.0,0.0
1.0,2.0,21.8,23.4,24.6,22.5,11.5,1055.7050214436476,280.34030351156207,229.1687125224533,229.16872069911182,158.5135768450393,158.51370786548102
1.4,4.9,17.9,20.1,5.4,4.3,15.4,4590.56690659422,388.11122750765924,896.9660714499773,896.9657558493047,1204.260295298011,1204.263556489268
1.1,2.2,9.0,15.6,14.7,16.0,24.4,914.4928988335805,415.512880554371,123.42505017888091,123.42507927073176,126.0648030735095,126.0650857560872
1.6,4.4,14.4,20.2,21.1,9.0,2.7,-1725232.921501135,0.0,0.0,0.0,0.0,0.0
1.5,4.6,4.7,4.5,26.7,5.7,15.2,5825.791172330346,1698.698405570065,1428.78606581773,1428.784380095165,634.7618506572006,634.7604701901851
2.2,2.9,10.2,23.1,2.7,17.6,5.2,-8916954.02640543,0.0,0.0,0.0,0.0,0.0
2.2,4.1,6.1,3.1,19.8,15.9,5.4,11004.165150884368,2427.4988154955167,2723.7890839388842,2723.785405914117,1564.544778371494,1564.5470671643557
1.8,1.0,4.7,4.8,13.0,25.0,29.8,2937.3968648221903,363.4224153120982,374.5523499760898,374.55253861282614,912.434965769737,912.4345951514392
1.6,4.3,18.0,15.6,12.3,10.1,28.9,3834.571324780677,1449.301627231675,64.50391294977975,64.50389348766916,1128.1313104154,1128.1305806961534
1.1,1.2,15.7,7.8,11.6,10.3,20.4,1517.4646215672335,385.4988922828267,380.0331337520823,380.0327452872228,185.9499017700618,185.94994847503986
1.2,2.2,23.6,8.3,0.6,13.6,28.3,-3599999.9999999995,0.0,0.0,0.0,0.0,0.0
2.2,4.3,9.3,11.5,24.9,10.5,7.7,-2014108.9443047892,0.0,0.0,0.0,0.0,0.0
1.5,2.3,4.9,23.9,11.4,4.5,10.6,2948.9143051744586,152.0169865255277,347.34279520800544,347.34318424858435,1051.1065453628787,1051.104793829462
2.1,1.6,9.3,7.7,7.0,13.5,19.7,-2438941.5431870064,0.0,0.0,0.0,0.0,0.0
1.6,3.7,13.1,24.0,4.4,14.9,26.5,7020.662794881247,1202.884945559356,2461.048541173198,2461.048673328978,447.8405966463509,447.8400381733636
1.8,4.5,10.3,23.5,11.0,10.0,14.9,7084.419947039383,669.7226272458707,131.7014812513979,131.70137453116183,3075.6484920092275,3075.6459720017256
1.4,3.9,20.9,22.8,4.8,3.1,21.6,-875272.4006877522,0.0,0.0,0.0,0.0,0.0
1.5,1.7,21.6,16.6,28.2,9.8,26.6,4297.562723487185,1050.1732150339676,1166.0004557742307,1166.000905042769,457.69448046863454,457.6936671675836
2.0,0.6,16.3,7.0,2.2,19.7,9.2,-3599999.9999999995,0.0,0.0,0.0,0.0,0.0
0.5,2.4,15.3,16.5,7.4,18.9,24.5,334.91120966463905,45.60782420832458,47.317343117949115,47.317348524683,97.3344923585606,97.33420145512176
1.4,1.8,18.3,11.9,3.5,6.7,6.8,2713.675585270521,747.8440131715806,243.2718046261523,243.27180141473994,739.644090282664,739.6438757753839
2.4,3.7,10.4,22.7,22.8,17.6,20.0,-7563849.433768917,0.0,0.0,0.0,0.0,0.0
2.1,2.8,15.5,8.4,5.5,11.9,19.2,7046.0283154519675,3233.405815901278,309.7578400804221,309.75668969847675,1596.5527213799014,1596.5552483918887
1.3,2.3,19.4,10.8,3.0,3.6,2.2,-799999.9999999998,0.0,0.0,0.0,0.0,0.0
0.9,1.5,15.2,17.2,6.0,17.7,14.1,972.2071104722501,257.5039501049472,208.6667144626851,208.6665794141307,148.6849970998983,148.68486939058877
1.7,2.8,16.7,22.0,1.8,9.3,15.4,-5605358.4246747745,0.0,0.0,0.0,0.0,0.0
1.6,4.6,12.8,24.5,0.2,13.0,1.9,-17579005.36509144,0.0,0.0,0.0,0.0,0.0
0.9,2.8,5.8,24.1,25.3,21.6,9.2,1512.923382024724,17.20778842795281,351.825622268819,351.8257206624747,396.0322291656311,396.03202149984634
1.2,1.5,8.5,3.7,9.8,13.6,17.3,1391.2630858941397,476.30289909969235,195.23810366666123,195.23824801699107,262.2418490223909,262.24198608840425
0.6,1.8,9.5,4.4,20.5,12.9,2.8,260.0903190923872,111.09477909137453,15.437871831059715,15.437942790390322,59.05983804135129,59.059887338211354
1.2,2.9,21.8,22.6,26.1,18.4,29.1,1878.1110919135087,206.31155514756378,344.14309045006036,344.1436503636242,491.7558777807559,491.7569181715046
0.9,2.0,21.5,24.6,29.9,9.6,10.0,1131.2662284402043,179.9378994127034,319.56070354298714,319.56069508290466,156.10321041560744,156.10371998600152
2.3,1.8,6.9,19.3,16.7,16.7,18.0,-12586223.258500542,0.0,0.0,0.0,0.0,0.0
0.5,0.8,9.8,5.3,30.0,16.2,0.0,-2000000.0,0.0,0.0,0.0,0.0,0.0
1.6,2.7,17.7,9.7,9.4,23.9,0.0,-6800000.000000003,0.0,0.0,0.0,0.0,0.0
1.6,4.4,16.7,25.0,16.2,9.4,6.4,3451.42086155503,1872.3837988882,44.86705307285801,44.8670106807667,744.651301403882,744.6516975093233
1.8,0.7,20.0,23.6,8.7,20.2,9.5,-7414300.321370804,0.0,0.0,0.0,0.0,0.0
0.5,3.4,11.4,13.9,16.0,10.2,4.9,249.94338119731637,54.618975642156784,35.442702228739876,35.442719236822825,62.21939410490859,62.219589984688305
1.2,4.0,15.4,21.4,30.0,9.1,5.8,2391.056969844515,1235.8821422418157,26.735861429702997,26.73588528061679,550.8509703733205,550.8521105190592
1.6,3.8,5.7,19.3,30.0,25.0,0.0,-6400000.0,0.0,0.0,0.0,0.0,0.0
1.9,1.4,8.5,5.9,17.2,14.6,20.2,4075.1467009085477,669.8729028511758,381.371999864059,381.37184069023965,1321.2651055996432,1321.26485190343
1.8,4.6,7.4,16.8,28.4,25.0,9.8,8593.278993958713,1237.7891901487353,1869.3213016589934,1869.318974351098,1808.424652372142,1808.4248754277446
1.6,2.6,9.5,7.2,21.6,13.5,14.6,3972.8367477688657,600.1238710829762,147.17286093748686,147.17283903919227,1539.1822103471989,1539.184966362012
2.4,3.6,3.0,5.1,30.0,18.2,23.4,17384.92862036033,4244.7264280717045,3135.72348557592,3135.7251433163415,3434.3756155687724,3434.377947827591
1.4,1.7,21.2,11.0,25.8,20.0,20.5,3519.3075893770465,713.8911615048231,795.8676159668917,795.8685605975882,606.8405830528394,606.8396682549039
1.8,3.0,12.4,9.9,27.4,21.1,10.9,3032.841023370185,964.0654066350959,331.4351615843226,331.43542582745994,702.9522381247295,702.9527911985767
0.7,3.9,11.6,9.0,13.0,21.5,17.2,1341.1509941671554,891.1937972836191,192.71621651968456,192.71645951590253,32.26231491767578,32.262205930273716
2.2,0.9,9.7,5.2,26.6,22.2,22.2,7597.2895493647575,1801.9059515247436,818.2054721394944,818.2053257730113,2079.486711763556,2079.4860881639524
2.2,4.6,13.2,12.4,29.0,11.0,26.0,-10978821.857101263,0.0,0.0,0.0,0.0,0.0
1.4,0.5,22.9,17.6,0.0,25.0,12.1,-6200000.000000005,0.0,0.0,0.0,0.0,0.0
1.0,0.8,11.4,6.1,5.3,20.2,29.2,935.3791996344027,151.56258660399473,206.57076020687146,206.57056910575582,185.33765342356668,185.33763029421394
0.5,2.2,25.0,3.0,25.6,19.2,8.9,260.27417004272075,90.3991352621004,36.65541147821225,36.65538596551641,48.28215230985105,48.28208502704065
1.2,0.5,20.6,3.0,28.2,15.8,0.0,-4800000.0,0.0,0.0,0.0,0.0,0.0
2.4,5.0,3.0,23.6,22.9,23.7,25.1,-14795456.890890947,0.0,0.0,0.0,0.0,0.0
1.3,0.8,3.0,18.5,0.8,20.1,27.8,-3600000.0,0.0,0.0,0.0,0.0,0.0
0.6,2.9,25.0,13.4,20.9,3.0,8.8,550.6069124802463,92.28341910549594,108.89874154326516,108.89868237160383,120.26298280251169,120.26308665736964
1.4,4.7,8.6,3.9,1.4,3.0,12.8,-4191840.131808617,0.0,0.0,0.0,0.0,0.0
1.9,5.0,22.9,13.3,21.0,8.1,30.0,4263.164479411455,2408.4976154172455,509.6892310254578,509.68932408521124,417.6445018859278,417.64380699761307
0.6,2.4,11.0,15.4,4.9,6.2,17.2,303.3024298101561,112.90009000853863,37.178445300832784,37.1785092892644,58.02275977312153,58.022625438398826
1.9,1.0,25.0,5.6,29.0,19.6,23.6,4982.513191039261,1011.7617224807339,493.72773921324114,493.72796235011106,1491.6487014488584,1491.6470655463168
1.8,0.6,23.0,3.7,22.0,11.6,30.0,3892.222793945497,1123.4785013505948,601.2776379364658,601.2778849005865,783.0941045067225,783.0946652511268
1.8,2.5,5.7,25.0,19.8,3.0,24.6,7544.865858119016,387.3688253738609,2298.0916772433497,2298.0931954210646,1280.6556567697485,1280.656503310993
1.2,1.0,25.0,8.2,21.8,5.2,5.1,1676.1513098107594,331.31179172408446,202.02233381353298,202.02233138431586,470.3975141900027,470.39733869882343
1.0,3.4,7.6,3.0,19.1,20.7,3.2,989.2682001938202,43.84315047445606,412.5532135830246,412.55305436812995,60.15938261677547,60.1593991514341
1.2,1.6,10.3,22.8,3.2,3.2,8.7,1909.0681148294293,583.5111086829659,307.88047769543226,307.88004298463505,354.89793425279055,354.8985512136056
